gene_id,gene_symbol,gene_name,chromosome,function,protein
GENE0624,GENE0624,GENE0624 Associated Gene,8,Immune Regulation,GENE0624 Protein
GENE0625,GENE0625,GENE0625 Associated Gene,9,Protein Synthesis,GENE0625 Protein
GENE0626,GENE0626,GENE0626 Associated Gene,10,Metabolism,GENE0626 Protein
GENE0627,GENE0627,GENE0627 Associated Gene,11,Signal Transduction,GENE0627 Protein
GENE0628,GENE0628,GENE0628 Associated Gene,12,Apoptosis,GENE0628 Protein
GENE0629,GENE0629,GENE0629 Associated Gene,13,Cell Cycle Control,GENE0629 Protein
GENE0630,GENE0630,GENE0630 Associated Gene,14,Gene Expression,GENE0630 Protein
GENE0631,GENE0631,GENE0631 Associated Gene,15,DNA Repair,GENE0631 Protein
GENE0632,GENE0632,GENE0632 Associated Gene,16,Cell Signaling,GENE0632 Protein
GENE0633,GENE0633,GENE0633 Associated Gene,17,Tumor Suppression,GENE0633 Protein
GENE0634,GENE0634,GENE0634 Associated Gene,18,Immune Regulation,GENE0634 Protein
GENE0635,GENE0635,GENE0635 Associated Gene,19,Protein Synthesis,GENE0635 Protein
GENE0636,GENE0636,GENE0636 Associated Gene,20,Metabolism,GENE0636 Protein
GENE0637,GENE0637,GENE0637 Associated Gene,21,Signal Transduction,GENE0637 Protein
GENE0638,GENE0638,GENE0638 Associated Gene,22,Apoptosis,GENE0638 Protein
GENE0639,GENE0639,GENE0639 Associated Gene,1,Cell Cycle Control,GENE0639 Protein
GENE0640,GENE0640,GENE0640 Associated Gene,2,Gene Expression,GENE0640 Protein
GENE0641,GENE0641,GENE0641 Associated Gene,3,DNA Repair,GENE0641 Protein
GENE0642,GENE0642,GENE0642 Associated Gene,4,Cell Signaling,GENE0642 Protein
GENE0643,GENE0643,GENE0643 Associated Gene,5,Tumor Suppression,GENE0643 Protein
GENE0644,GENE0644,GENE0644 Associated Gene,6,Immune Regulation,GENE0644 Protein
GENE0645,GENE0645,GENE0645 Associated Gene,7,Protein Synthesis,GENE0645 Protein
GENE0646,GENE0646,GENE0646 Associated Gene,8,Metabolism,GENE0646 Protein
GENE0647,GENE0647,GENE0647 Associated Gene,9,Signal Transduction,GENE0647 Protein
GENE0648,GENE0648,GENE0648 Associated Gene,10,Apoptosis,GENE0648 Protein
GENE0649,GENE0649,GENE0649 Associated Gene,11,Cell Cycle Control,GENE0649 Protein
GENE0650,GENE0650,GENE0650 Associated Gene,12,Gene Expression,GENE0650 Protein
GENE0651,GENE0651,GENE0651 Associated Gene,13,DNA Repair,GENE0651 Protein
GENE0652,GENE0652,GENE0652 Associated Gene,14,Cell Signaling,GENE0652 Protein
GENE0653,GENE0653,GENE0653 Associated Gene,15,Tumor Suppression,GENE0653 Protein
GENE0654,GENE0654,GENE0654 Associated Gene,16,Immune Regulation,GENE0654 Protein
GENE0655,GENE0655,GENE0655 Associated Gene,17,Protein Synthesis,GENE0655 Protein
GENE0656,GENE0656,GENE0656 Associated Gene,18,Metabolism,GENE0656 Protein
GENE0657,GENE0657,GENE0657 Associated Gene,19,Signal Transduction,GENE0657 Protein
GENE0658,GENE0658,GENE0658 Associated Gene,20,Apoptosis,GENE0658 Protein
GENE0659,GENE0659,GENE0659 Associated Gene,21,Cell Cycle Control,GENE0659 Protein
GENE0660,GENE0660,GENE0660 Associated Gene,22,Gene Expression,GENE0660 Protein
GENE0661,GENE0661,GENE0661 Associated Gene,1,DNA Repair,GENE0661 Protein
GENE0662,GENE0662,GENE0662 Associated Gene,2,Cell Signaling,GENE0662 Protein
GENE0663,GENE0663,GENE0663 Associated Gene,3,Tumor Suppression,GENE0663 Protein
GENE0664,GENE0664,GENE0664 Associated Gene,4,Immune Regulation,GENE0664 Protein
GENE0665,GENE0665,GENE0665 Associated Gene,5,Protein Synthesis,GENE0665 Protein
GENE0666,GENE0666,GENE0666 Associated Gene,6,Metabolism,GENE0666 Protein
GENE0667,GENE0667,GENE0667 Associated Gene,7,Signal Transduction,GENE0667 Protein
GENE0668,GENE0668,GENE0668 Associated Gene,8,Apoptosis,GENE0668 Protein
GENE0669,GENE0669,GENE0669 Associated Gene,9,Cell Cycle Control,GENE0669 Protein
GENE0670,GENE0670,GENE0670 Associated Gene,10,Gene Expression,GENE0670 Protein
GENE0671,GENE0671,GENE0671 Associated Gene,11,DNA Repair,GENE0671 Protein
GENE0672,GENE0672,GENE0672 Associated Gene,12,Cell Signaling,GENE0672 Protein
GENE0673,GENE0673,GENE0673 Associated Gene,13,Tumor Suppression,GENE0673 Protein
GENE0674,GENE0674,GENE0674 Associated Gene,14,Immune Regulation,GENE0674 Protein
GENE0675,GENE0675,GENE0675 Associated Gene,15,Protein Synthesis,GENE0675 Protein
GENE0676,GENE0676,GENE0676 Associated Gene,16,Metabolism,GENE0676 Protein
GENE0677,GENE0677,GENE0677 Associated Gene,17,Signal Transduction,GENE0677 Protein
GENE0678,GENE0678,GENE0678 Associated Gene,18,Apoptosis,GENE0678 Protein
GENE0679,GENE0679,GENE0679 Associated Gene,19,Cell Cycle Control,GENE0679 Protein
GENE0680,GENE0680,GENE0680 Associated Gene,20,Gene Expression,GENE0680 Protein
GENE0681,GENE0681,GENE0681 Associated Gene,21,DNA Repair,GENE0681 Protein
GENE0682,GENE0682,GENE0682 Associated Gene,22,Cell Signaling,GENE0682 Protein
GENE0683,GENE0683,GENE0683 Associated Gene,1,Tumor Suppression,GENE0683 Protein
GENE0684,GENE0684,GENE0684 Associated Gene,2,Immune Regulation,GENE0684 Protein
GENE0685,GENE0685,GENE0685 Associated Gene,3,Protein Synthesis,GENE0685 Protein
GENE0686,GENE0686,GENE0686 Associated Gene,4,Metabolism,GENE0686 Protein
GENE0687,GENE0687,GENE0687 Associated Gene,5,Signal Transduction,GENE0687 Protein
GENE0688,GENE0688,GENE0688 Associated Gene,6,Apoptosis,GENE0688 Protein
GENE0689,GENE0689,GENE0689 Associated Gene,7,Cell Cycle Control,GENE0689 Protein
GENE0690,GENE0690,GENE0690 Associated Gene,8,Gene Expression,GENE0690 Protein
GENE0691,GENE0691,GENE0691 Associated Gene,9,DNA Repair,GENE0691 Protein
GENE0692,GENE0692,GENE0692 Associated Gene,10,Cell Signaling,GENE0692 Protein
GENE0693,GENE0693,GENE0693 Associated Gene,11,Tumor Suppression,GENE0693 Protein
GENE0694,GENE0694,GENE0694 Associated Gene,12,Immune Regulation,GENE0694 Protein
GENE0695,GENE0695,GENE0695 Associated Gene,13,Protein Synthesis,GENE0695 Protein
GENE0696,GENE0696,GENE0696 Associated Gene,14,Metabolism,GENE0696 Protein
GENE0697,GENE0697,GENE0697 Associated Gene,15,Signal Transduction,GENE0697 Protein
GENE0698,GENE0698,GENE0698 Associated Gene,16,Apoptosis,GENE0698 Protein
GENE0699,GENE0699,GENE0699 Associated Gene,17,Cell Cycle Control,GENE0699 Protein
GENE0700,GENE0700,GENE0700 Associated Gene,18,Gene Expression,GENE0700 Protein
GENE0701,GENE0701,GENE0701 Associated Gene,19,DNA Repair,GENE0701 Protein
GENE0702,GENE0702,GENE0702 Associated Gene,20,Cell Signaling,GENE0702 Protein
GENE0703,GENE0703,GENE0703 Associated Gene,21,Tumor Suppression,GENE0703 Protein
GENE0704,GENE0704,GENE0704 Associated Gene,22,Immune Regulation,GENE0704 Protein
GENE0705,GENE0705,GENE0705 Associated Gene,1,Protein Synthesis,GENE0705 Protein
GENE0706,GENE0706,GENE0706 Associated Gene,2,Metabolism,GENE0706 Protein
GENE0707,GENE0707,GENE0707 Associated Gene,3,Signal Transduction,GENE0707 Protein
GENE0708,GENE0708,GENE0708 Associated Gene,4,Apoptosis,GENE0708 Protein
GENE0709,GENE0709,GENE0709 Associated Gene,5,Cell Cycle Control,GENE0709 Protein
GENE0710,GENE0710,GENE0710 Associated Gene,6,Gene Expression,GENE0710 Protein
GENE0711,GENE0711,GENE0711 Associated Gene,7,DNA Repair,GENE0711 Protein
GENE0712,GENE0712,GENE0712 Associated Gene,8,Cell Signaling,GENE0712 Protein
GENE0713,GENE0713,GENE0713 Associated Gene,9,Tumor Suppression,GENE0713 Protein
GENE0714,GENE0714,GENE0714 Associated Gene,10,Immune Regulation,GENE0714 Protein
GENE0715,GENE0715,GENE0715 Associated Gene,11,Protein Synthesis,GENE0715 Protein
GENE0716,GENE0716,GENE0716 Associated Gene,12,Metabolism,GENE0716 Protein
GENE0717,GENE0717,GENE0717 Associated Gene,13,Signal Transduction,GENE0717 Protein
GENE0718,GENE0718,GENE0718 Associated Gene,14,Apoptosis,GENE0718 Protein
GENE0719,GENE0719,GENE0719 Associated Gene,15,Cell Cycle Control,GENE0719 Protein
GENE0720,GENE0720,GENE0720 Associated Gene,16,Gene Expression,GENE0720 Protein
GENE0721,GENE0721,GENE0721 Associated Gene,17,DNA Repair,GENE0721 Protein
GENE0722,GENE0722,GENE0722 Associated Gene,18,Cell Signaling,GENE0722 Protein
GENE0723,GENE0723,GENE0723 Associated Gene,19,Tumor Suppression,GENE0723 Protein
GENE0724,GENE0724,GENE0724 Associated Gene,20,Immune Regulation,GENE0724 Protein
GENE0725,GENE0725,GENE0725 Associated Gene,21,Protein Synthesis,GENE0725 Protein
GENE0726,GENE0726,GENE0726 Associated Gene,22,Metabolism,GENE0726 Protein
GENE0727,GENE0727,GENE0727 Associated Gene,1,Signal Transduction,GENE0727 Protein
GENE0728,GENE0728,GENE0728 Associated Gene,2,Apoptosis,GENE0728 Protein
GENE0729,GENE0729,GENE0729 Associated Gene,3,Cell Cycle Control,GENE0729 Protein
GENE0730,GENE0730,GENE0730 Associated Gene,4,Gene Expression,GENE0730 Protein
GENE0731,GENE0731,GENE0731 Associated Gene,5,DNA Repair,GENE0731 Protein
GENE0732,GENE0732,GENE0732 Associated Gene,6,Cell Signaling,GENE0732 Protein
GENE0733,GENE0733,GENE0733 Associated Gene,7,Tumor Suppression,GENE0733 Protein
GENE0734,GENE0734,GENE0734 Associated Gene,8,Immune Regulation,GENE0734 Protein
GENE0735,GENE0735,GENE0735 Associated Gene,9,Protein Synthesis,GENE0735 Protein
GENE0736,GENE0736,GENE0736 Associated Gene,10,Metabolism,GENE0736 Protein
GENE0737,GENE0737,GENE0737 Associated Gene,11,Signal Transduction,GENE0737 Protein
GENE0738,GENE0738,GENE0738 Associated Gene,12,Apoptosis,GENE0738 Protein
GENE0739,GENE0739,GENE0739 Associated Gene,13,Cell Cycle Control,GENE0739 Protein
GENE0740,GENE0740,GENE0740 Associated Gene,14,Gene Expression,GENE0740 Protein
GENE0741,GENE0741,GENE0741 Associated Gene,15,DNA Repair,GENE0741 Protein
GENE0742,GENE0742,GENE0742 Associated Gene,16,Cell Signaling,GENE0742 Protein
GENE0743,GENE0743,GENE0743 Associated Gene,17,Tumor Suppression,GENE0743 Protein
GENE0744,GENE0744,GENE0744 Associated Gene,18,Immune Regulation,GENE0744 Protein
GENE0745,GENE0745,GENE0745 Associated Gene,19,Protein Synthesis,GENE0745 Protein
GENE0746,GENE0746,GENE0746 Associated Gene,20,Metabolism,GENE0746 Protein
GENE0747,GENE0747,GENE0747 Associated Gene,21,Signal Transduction,GENE0747 Protein
GENE0748,GENE0748,GENE0748 Associated Gene,22,Apoptosis,GENE0748 Protein
GENE0749,GENE0749,GENE0749 Associated Gene,1,Cell Cycle Control,GENE0749 Protein
GENE0750,GENE0750,GENE0750 Associated Gene,2,Gene Expression,GENE0750 Protein
GENE0751,GENE0751,GENE0751 Associated Gene,3,DNA Repair,GENE0751 Protein
GENE0752,GENE0752,GENE0752 Associated Gene,4,Cell Signaling,GENE0752 Protein
GENE0753,GENE0753,GENE0753 Associated Gene,5,Tumor Suppression,GENE0753 Protein
GENE0754,GENE0754,GENE0754 Associated Gene,6,Immune Regulation,GENE0754 Protein
GENE0755,GENE0755,GENE0755 Associated Gene,7,Protein Synthesis,GENE0755 Protein
GENE0756,GENE0756,GENE0756 Associated Gene,8,Metabolism,GENE0756 Protein
GENE0757,GENE0757,GENE0757 Associated Gene,9,Signal Transduction,GENE0757 Protein
GENE0758,GENE0758,GENE0758 Associated Gene,10,Apoptosis,GENE0758 Protein
GENE0759,GENE0759,GENE0759 Associated Gene,11,Cell Cycle Control,GENE0759 Protein
GENE0760,GENE0760,GENE0760 Associated Gene,12,Gene Expression,GENE0760 Protein
GENE0761,GENE0761,GENE0761 Associated Gene,13,DNA Repair,GENE0761 Protein
GENE0762,GENE0762,GENE0762 Associated Gene,14,Cell Signaling,GENE0762 Protein
GENE0763,GENE0763,GENE0763 Associated Gene,15,Tumor Suppression,GENE0763 Protein
GENE0764,GENE0764,GENE0764 Associated Gene,16,Immune Regulation,GENE0764 Protein
GENE0765,GENE0765,GENE0765 Associated Gene,17,Protein Synthesis,GENE0765 Protein
GENE0766,GENE0766,GENE0766 Associated Gene,18,Metabolism,GENE0766 Protein
GENE0767,GENE0767,GENE0767 Associated Gene,19,Signal Transduction,GENE0767 Protein
GENE0768,GENE0768,GENE0768 Associated Gene,20,Apoptosis,GENE0768 Protein
GENE0769,GENE0769,GENE0769 Associated Gene,21,Cell Cycle Control,GENE0769 Protein
GENE0770,GENE0770,GENE0770 Associated Gene,22,Gene Expression,GENE0770 Protein
GENE0771,GENE0771,GENE0771 Associated Gene,1,DNA Repair,GENE0771 Protein
GENE0772,GENE0772,GENE0772 Associated Gene,2,Cell Signaling,GENE0772 Protein
GENE0773,GENE0773,GENE0773 Associated Gene,3,Tumor Suppression,GENE0773 Protein
GENE0774,GENE0774,GENE0774 Associated Gene,4,Immune Regulation,GENE0774 Protein
GENE0775,GENE0775,GENE0775 Associated Gene,5,Protein Synthesis,GENE0775 Protein
GENE0776,GENE0776,GENE0776 Associated Gene,6,Metabolism,GENE0776 Protein
GENE0777,GENE0777,GENE0777 Associated Gene,7,Signal Transduction,GENE0777 Protein
GENE0778,GENE0778,GENE0778 Associated Gene,8,Apoptosis,GENE0778 Protein
GENE0779,GENE0779,GENE0779 Associated Gene,9,Cell Cycle Control,GENE0779 Protein
GENE0780,GENE0780,GENE0780 Associated Gene,10,Gene Expression,GENE0780 Protein
GENE0781,GENE0781,GENE0781 Associated Gene,11,DNA Repair,GENE0781 Protein
GENE0782,GENE0782,GENE0782 Associated Gene,12,Cell Signaling,GENE0782 Protein
GENE0783,GENE0783,GENE0783 Associated Gene,13,Tumor Suppression,GENE0783 Protein
GENE0784,GENE0784,GENE0784 Associated Gene,14,Immune Regulation,GENE0784 Protein
GENE0785,GENE0785,GENE0785 Associated Gene,15,Protein Synthesis,GENE0785 Protein
GENE0786,GENE0786,GENE0786 Associated Gene,16,Metabolism,GENE0786 Protein
GENE0787,GENE0787,GENE0787 Associated Gene,17,Signal Transduction,GENE0787 Protein
GENE0788,GENE0788,GENE0788 Associated Gene,18,Apoptosis,GENE0788 Protein
GENE0789,GENE0789,GENE0789 Associated Gene,19,Cell Cycle Control,GENE0789 Protein
GENE0790,GENE0790,GENE0790 Associated Gene,20,Gene Expression,GENE0790 Protein
GENE0791,GENE0791,GENE0791 Associated Gene,21,DNA Repair,GENE0791 Protein
GENE0792,GENE0792,GENE0792 Associated Gene,22,Cell Signaling,GENE0792 Protein
GENE0793,GENE0793,GENE0793 Associated Gene,1,Tumor Suppression,GENE0793 Protein
GENE0794,GENE0794,GENE0794 Associated Gene,2,Immune Regulation,GENE0794 Protein
GENE0795,GENE0795,GENE0795 Associated Gene,3,Protein Synthesis,GENE0795 Protein
GENE0796,GENE0796,GENE0796 Associated Gene,4,Metabolism,GENE0796 Protein
GENE0797,GENE0797,GENE0797 Associated Gene,5,Signal Transduction,GENE0797 Protein
GENE0798,GENE0798,GENE0798 Associated Gene,6,Apoptosis,GENE0798 Protein
GENE0799,GENE0799,GENE0799 Associated Gene,7,Cell Cycle Control,GENE0799 Protein
GENE0800,GENE0800,GENE0800 Associated Gene,8,Gene Expression,GENE0800 Protein
GENE0801,GENE0801,GENE0801 Associated Gene,9,DNA Repair,GENE0801 Protein
GENE0802,GENE0802,GENE0802 Associated Gene,10,Cell Signaling,GENE0802 Protein
GENE0803,GENE0803,GENE0803 Associated Gene,11,Tumor Suppression,GENE0803 Protein
GENE0804,GENE0804,GENE0804 Associated Gene,12,Immune Regulation,GENE0804 Protein
GENE0805,GENE0805,GENE0805 Associated Gene,13,Protein Synthesis,GENE0805 Protein
GENE0806,GENE0806,GENE0806 Associated Gene,14,Metabolism,GENE0806 Protein
GENE0807,GENE0807,GENE0807 Associated Gene,15,Signal Transduction,GENE0807 Protein
GENE0808,GENE0808,GENE0808 Associated Gene,16,Apoptosis,GENE0808 Protein
GENE0809,GENE0809,GENE0809 Associated Gene,17,Cell Cycle Control,GENE0809 Protein
GENE0810,GENE0810,GENE0810 Associated Gene,18,Gene Expression,GENE0810 Protein
GENE0811,GENE0811,GENE0811 Associated Gene,19,DNA Repair,GENE0811 Protein
GENE0812,GENE0812,GENE0812 Associated Gene,20,Cell Signaling,GENE0812 Protein
GENE0813,GENE0813,GENE0813 Associated Gene,21,Tumor Suppression,GENE0813 Protein
GENE0814,GENE0814,GENE0814 Associated Gene,22,Immune Regulation,GENE0814 Protein
GENE0815,GENE0815,GENE0815 Associated Gene,1,Protein Synthesis,GENE0815 Protein
GENE0816,GENE0816,GENE0816 Associated Gene,2,Metabolism,GENE0816 Protein
GENE0817,GENE0817,GENE0817 Associated Gene,3,Signal Transduction,GENE0817 Protein
GENE0818,GENE0818,GENE0818 Associated Gene,4,Apoptosis,GENE0818 Protein
GENE0819,GENE0819,GENE0819 Associated Gene,5,Cell Cycle Control,GENE0819 Protein
GENE0820,GENE0820,GENE0820 Associated Gene,6,Gene Expression,GENE0820 Protein
GENE0821,GENE0821,GENE0821 Associated Gene,7,DNA Repair,GENE0821 Protein
GENE0822,GENE0822,GENE0822 Associated Gene,8,Cell Signaling,GENE0822 Protein
GENE0823,GENE0823,GENE0823 Associated Gene,9,Tumor Suppression,GENE0823 Protein
GENE0824,GENE0824,GENE0824 Associated Gene,10,Immune Regulation,GENE0824 Protein
GENE0825,GENE0825,GENE0825 Associated Gene,11,Protein Synthesis,GENE0825 Protein
GENE0826,GENE0826,GENE0826 Associated Gene,12,Metabolism,GENE0826 Protein
GENE0827,GENE0827,GENE0827 Associated Gene,13,Signal Transduction,GENE0827 Protein
GENE0828,GENE0828,GENE0828 Associated Gene,14,Apoptosis,GENE0828 Protein
GENE0829,GENE0829,GENE0829 Associated Gene,15,Cell Cycle Control,GENE0829 Protein
GENE0830,GENE0830,GENE0830 Associated Gene,16,Gene Expression,GENE0830 Protein
GENE0831,GENE0831,GENE0831 Associated Gene,17,DNA Repair,GENE0831 Protein
GENE0832,GENE0832,GENE0832 Associated Gene,18,Cell Signaling,GENE0832 Protein
GENE0833,GENE0833,GENE0833 Associated Gene,19,Tumor Suppression,GENE0833 Protein
GENE0834,GENE0834,GENE0834 Associated Gene,20,Immune Regulation,GENE0834 Protein
GENE0835,GENE0835,GENE0835 Associated Gene,21,Protein Synthesis,GENE0835 Protein
GENE0836,GENE0836,GENE0836 Associated Gene,22,Metabolism,GENE0836 Protein
GENE0837,GENE0837,GENE0837 Associated Gene,1,Signal Transduction,GENE0837 Protein
GENE0838,GENE0838,GENE0838 Associated Gene,2,Apoptosis,GENE0838 Protein
GENE0839,GENE0839,GENE0839 Associated Gene,3,Cell Cycle Control,GENE0839 Protein
GENE0840,GENE0840,GENE0840 Associated Gene,4,Gene Expression,GENE0840 Protein
GENE0841,GENE0841,GENE0841 Associated Gene,5,DNA Repair,GENE0841 Protein
GENE0842,GENE0842,GENE0842 Associated Gene,6,Cell Signaling,GENE0842 Protein
GENE0843,GENE0843,GENE0843 Associated Gene,7,Tumor Suppression,GENE0843 Protein
GENE0844,GENE0844,GENE0844 Associated Gene,8,Immune Regulation,GENE0844 Protein
GENE0845,GENE0845,GENE0845 Associated Gene,9,Protein Synthesis,GENE0845 Protein
GENE0846,GENE0846,GENE0846 Associated Gene,10,Metabolism,GENE0846 Protein
GENE0847,GENE0847,GENE0847 Associated Gene,11,Signal Transduction,GENE0847 Protein
GENE0848,GENE0848,GENE0848 Associated Gene,12,Apoptosis,GENE0848 Protein
GENE0849,GENE0849,GENE0849 Associated Gene,13,Cell Cycle Control,GENE0849 Protein
GENE0850,GENE0850,GENE0850 Associated Gene,14,Gene Expression,GENE0850 Protein
GENE0851,GENE0851,GENE0851 Associated Gene,15,DNA Repair,GENE0851 Protein
GENE0852,GENE0852,GENE0852 Associated Gene,16,Cell Signaling,GENE0852 Protein
GENE0853,GENE0853,GENE0853 Associated Gene,17,Tumor Suppression,GENE0853 Protein
GENE0854,GENE0854,GENE0854 Associated Gene,18,Immune Regulation,GENE0854 Protein
GENE0855,GENE0855,GENE0855 Associated Gene,19,Protein Synthesis,GENE0855 Protein
GENE0856,GENE0856,GENE0856 Associated Gene,20,Metabolism,GENE0856 Protein
GENE0857,GENE0857,GENE0857 Associated Gene,21,Signal Transduction,GENE0857 Protein
GENE0858,GENE0858,GENE0858 Associated Gene,22,Apoptosis,GENE0858 Protein
GENE0859,GENE0859,GENE0859 Associated Gene,1,Cell Cycle Control,GENE0859 Protein
GENE0860,GENE0860,GENE0860 Associated Gene,2,Gene Expression,GENE0860 Protein
GENE0861,GENE0861,GENE0861 Associated Gene,3,DNA Repair,GENE0861 Protein
GENE0862,GENE0862,GENE0862 Associated Gene,4,Cell Signaling,GENE0862 Protein
GENE0863,GENE0863,GENE0863 Associated Gene,5,Tumor Suppression,GENE0863 Protein
GENE0864,GENE0864,GENE0864 Associated Gene,6,Immune Regulation,GENE0864 Protein
GENE0865,GENE0865,GENE0865 Associated Gene,7,Protein Synthesis,GENE0865 Protein
GENE0866,GENE0866,GENE0866 Associated Gene,8,Metabolism,GENE0866 Protein
GENE0867,GENE0867,GENE0867 Associated Gene,9,Signal Transduction,GENE0867 Protein
GENE0868,GENE0868,GENE0868 Associated Gene,10,Apoptosis,GENE0868 Protein
GENE0869,GENE0869,GENE0869 Associated Gene,11,Cell Cycle Control,GENE0869 Protein
GENE0870,GENE0870,GENE0870 Associated Gene,12,Gene Expression,GENE0870 Protein
GENE0871,GENE0871,GENE0871 Associated Gene,13,DNA Repair,GENE0871 Protein
GENE0872,GENE0872,GENE0872 Associated Gene,14,Cell Signaling,GENE0872 Protein
GENE0873,GENE0873,GENE0873 Associated Gene,15,Tumor Suppression,GENE0873 Protein
GENE0874,GENE0874,GENE0874 Associated Gene,16,Immune Regulation,GENE0874 Protein
GENE0875,GENE0875,GENE0875 Associated Gene,17,Protein Synthesis,GENE0875 Protein
GENE0876,GENE0876,GENE0876 Associated Gene,18,Metabolism,GENE0876 Protein
GENE0877,GENE0877,GENE0877 Associated Gene,19,Signal Transduction,GENE0877 Protein
GENE0878,GENE0878,GENE0878 Associated Gene,20,Apoptosis,GENE0878 Protein
GENE0879,GENE0879,GENE0879 Associated Gene,21,Cell Cycle Control,GENE0879 Protein
GENE0880,GENE0880,GENE0880 Associated Gene,22,Gene Expression,GENE0880 Protein
GENE0881,GENE0881,GENE0881 Associated Gene,1,DNA Repair,GENE0881 Protein
GENE0882,GENE0882,GENE0882 Associated Gene,2,Cell Signaling,GENE0882 Protein
GENE0883,GENE0883,GENE0883 Associated Gene,3,Tumor Suppression,GENE0883 Protein
GENE0884,GENE0884,GENE0884 Associated Gene,4,Immune Regulation,GENE0884 Protein
GENE0885,GENE0885,GENE0885 Associated Gene,5,Protein Synthesis,GENE0885 Protein
GENE0886,GENE0886,GENE0886 Associated Gene,6,Metabolism,GENE0886 Protein
GENE0887,GENE0887,GENE0887 Associated Gene,7,Signal Transduction,GENE0887 Protein
GENE0888,GENE0888,GENE0888 Associated Gene,8,Apoptosis,GENE0888 Protein
GENE0889,GENE0889,GENE0889 Associated Gene,9,Cell Cycle Control,GENE0889 Protein
GENE0890,GENE0890,GENE0890 Associated Gene,10,Gene Expression,GENE0890 Protein
GENE0891,GENE0891,GENE0891 Associated Gene,11,DNA Repair,GENE0891 Protein
GENE0892,GENE0892,GENE0892 Associated Gene,12,Cell Signaling,GENE0892 Protein
GENE0893,GENE0893,GENE0893 Associated Gene,13,Tumor Suppression,GENE0893 Protein
GENE0894,GENE0894,GENE0894 Associated Gene,14,Immune Regulation,GENE0894 Protein
GENE0895,GENE0895,GENE0895 Associated Gene,15,Protein Synthesis,GENE0895 Protein
GENE0896,GENE0896,GENE0896 Associated Gene,16,Metabolism,GENE0896 Protein
GENE0897,GENE0897,GENE0897 Associated Gene,17,Signal Transduction,GENE0897 Protein
GENE0898,GENE0898,GENE0898 Associated Gene,18,Apoptosis,GENE0898 Protein
GENE0899,GENE0899,GENE0899 Associated Gene,19,Cell Cycle Control,GENE0899 Protein
GENE0900,GENE0900,GENE0900 Associated Gene,20,Gene Expression,GENE0900 Protein
GENE0901,GENE0901,GENE0901 Associated Gene,21,DNA Repair,GENE0901 Protein
GENE0902,GENE0902,GENE0902 Associated Gene,22,Cell Signaling,GENE0902 Protein
GENE0903,GENE0903,GENE0903 Associated Gene,1,Tumor Suppression,GENE0903 Protein
GENE0904,GENE0904,GENE0904 Associated Gene,2,Immune Regulation,GENE0904 Protein
GENE0905,GENE0905,GENE0905 Associated Gene,3,Protein Synthesis,GENE0905 Protein
GENE0906,GENE0906,GENE0906 Associated Gene,4,Metabolism,GENE0906 Protein
GENE0907,GENE0907,GENE0907 Associated Gene,5,Signal Transduction,GENE0907 Protein
GENE0908,GENE0908,GENE0908 Associated Gene,6,Apoptosis,GENE0908 Protein
GENE0909,GENE0909,GENE0909 Associated Gene,7,Cell Cycle Control,GENE0909 Protein
GENE0910,GENE0910,GENE0910 Associated Gene,8,Gene Expression,GENE0910 Protein
GENE0911,GENE0911,GENE0911 Associated Gene,9,DNA Repair,GENE0911 Protein
GENE0912,GENE0912,GENE0912 Associated Gene,10,Cell Signaling,GENE0912 Protein
GENE0913,GENE0913,GENE0913 Associated Gene,11,Tumor Suppression,GENE0913 Protein
GENE0914,GENE0914,GENE0914 Associated Gene,12,Immune Regulation,GENE0914 Protein
GENE0915,GENE0915,GENE0915 Associated Gene,13,Protein Synthesis,GENE0915 Protein
GENE0916,GENE0916,GENE0916 Associated Gene,14,Metabolism,GENE0916 Protein
GENE0917,GENE0917,GENE0917 Associated Gene,15,Signal Transduction,GENE0917 Protein
GENE0918,GENE0918,GENE0918 Associated Gene,16,Apoptosis,GENE0918 Protein
GENE0919,GENE0919,GENE0919 Associated Gene,17,Cell Cycle Control,GENE0919 Protein
GENE0920,GENE0920,GENE0920 Associated Gene,18,Gene Expression,GENE0920 Protein
GENE0921,GENE0921,GENE0921 Associated Gene,19,DNA Repair,GENE0921 Protein
GENE0922,GENE0922,GENE0922 Associated Gene,20,Cell Signaling,GENE0922 Protein
GENE0923,GENE0923,GENE0923 Associated Gene,21,Tumor Suppression,GENE0923 Protein
GENE0924,GENE0924,GENE0924 Associated Gene,22,Immune Regulation,GENE0924 Protein
GENE0925,GENE0925,GENE0925 Associated Gene,1,Protein Synthesis,GENE0925 Protein
GENE0926,GENE0926,GENE0926 Associated Gene,2,Metabolism,GENE0926 Protein
GENE0927,GENE0927,GENE0927 Associated Gene,3,Signal Transduction,GENE0927 Protein
GENE0928,GENE0928,GENE0928 Associated Gene,4,Apoptosis,GENE0928 Protein
GENE0929,GENE0929,GENE0929 Associated Gene,5,Cell Cycle Control,GENE0929 Protein
GENE0930,GENE0930,GENE0930 Associated Gene,6,Gene Expression,GENE0930 Protein
GENE0931,GENE0931,GENE0931 Associated Gene,7,DNA Repair,GENE0931 Protein
GENE0932,GENE0932,GENE0932 Associated Gene,8,Cell Signaling,GENE0932 Protein
GENE0933,GENE0933,GENE0933 Associated Gene,9,Tumor Suppression,GENE0933 Protein
GENE0934,GENE0934,GENE0934 Associated Gene,10,Immune Regulation,GENE0934 Protein
